# L[Lsol] Phi[Mpc-3dex-1]
1.122018454301962862e+06 8.937360018472914266e-03
1.412537544622753980e+06 7.901955782323819011e-03
1.778279410038922913e+06 6.900853382778849611e-03
2.238721138568340335e+06 5.956233574757503757e-03
2.818382931264454965e+06 5.127300008937095421e-03
3.548133892335753422e+06 4.361033259989610840e-03
4.466835921509630047e+06 3.697754477192499636e-03
5.623413251903491095e+06 3.114293429570376415e-03
7.079457843841381371e+06 2.608011514307538754e-03
8.912509381337458268e+06 2.169343796197066836e-03
1.122018454301963001e+07 1.801423616082607586e-03
1.412537544622754119e+07 1.497242185234951700e-03
1.778279410038922727e+07 1.231567864228948206e-03
2.238721138568340242e+07 1.013553306581563241e-03
2.818382931264454871e+07 8.267897010326501987e-04
3.548133892335753143e+07 6.782033799734264734e-04
4.466835921509630233e+07 5.548486983393539386e-04
5.623413251903490722e+07 4.483151096553823420e-04
7.079457843841381371e+07 3.613236730752042241e-04
8.912509381337459385e+07 2.907410477551734731e-04
1.122018454301963001e+08 2.338461745415972503e-04
1.412537544622752666e+08 1.849495661131180066e-04
1.778279410038922727e+08 1.472670196513726224e-04
2.238721138568342328e+08 1.162634365668731144e-04
2.818382931264455318e+08 9.226864221158228544e-05
3.548133892335753441e+08 7.181947038989111251e-05
4.466835921509625316e+08 5.499837743979033017e-05
5.623413251903491020e+08 4.312466476913095321e-05
7.079457843841388226e+08 3.306499153426674782e-05
8.912509381337459087e+08 2.564392111510463638e-05
1.122018454301962852e+09 1.945969576580287627e-05
1.412537544622752428e+09 1.533687886626836953e-05
1.778279410038922787e+09 1.146143098070593103e-05
2.238721138568342209e+09 8.163177461078324626e-06
2.818382931264454842e+09 6.101769011311070411e-06
3.548133892335752964e+09 4.287729575515887819e-06
4.466835921509625435e+09 3.380709857618296100e-06
5.623413251903491020e+09 2.143864787757943910e-06
7.079457843841387749e+09 1.319301407851042308e-06
8.912509381337459564e+09 1.154388731869662073e-06
