nu_0 [GHz]   I_CII [Jy/sr]
1.5838E+02   4.7249E+01 
1.5938E+02   4.8072E+01 
1.6038E+02   4.8930E+01 
1.6138E+02   4.9823E+01 
1.6238E+02   5.0753E+01 
1.6338E+02   5.1719E+01 
1.6438E+02   5.2722E+01 
1.6538E+02   5.3764E+01 
1.6638E+02   5.4844E+01 
1.6738E+02   5.5964E+01 
1.6838E+02   5.7124E+01 
1.6938E+02   5.8325E+01 
1.7038E+02   5.9568E+01 
1.7138E+02   6.0853E+01 
1.7238E+02   6.2181E+01 
1.7338E+02   6.3554E+01 
1.7438E+02   6.4971E+01 
1.7538E+02   6.6433E+01 
1.7638E+02   6.7943E+01 
1.7738E+02   6.9499E+01 
1.7838E+02   7.1104E+01 
1.7938E+02   7.2758E+01 
1.8038E+02   7.4461E+01 
1.8138E+02   7.6216E+01 
1.8238E+02   7.8022E+01 
1.8338E+02   7.9881E+01 
1.8438E+02   8.1793E+01 
1.8538E+02   8.3759E+01 
1.8638E+02   8.5781E+01 
1.8738E+02   8.7860E+01 
1.8838E+02   8.9995E+01 
1.8938E+02   9.2189E+01 
1.9038E+02   9.4442E+01 
1.9138E+02   9.6755E+01 
1.9238E+02   9.9129E+01 
1.9338E+02   1.0157E+02 
1.9438E+02   1.0407E+02 
1.9538E+02   1.0663E+02 
1.9638E+02   1.0926E+02 
1.9738E+02   1.1195E+02 
1.9838E+02   1.1472E+02 
1.9938E+02   1.1755E+02 
2.0038E+02   1.2045E+02 
2.0138E+02   1.2342E+02 
2.0238E+02   1.2646E+02 
2.0338E+02   1.2957E+02 
2.0438E+02   1.3276E+02 
2.0538E+02   1.3602E+02 
2.0638E+02   1.3936E+02 
2.0738E+02   1.4277E+02 
2.0838E+02   1.4627E+02 
2.0938E+02   1.4984E+02 
2.1038E+02   1.5349E+02 
2.1138E+02   1.5722E+02 
2.1238E+02   1.6104E+02 
2.1338E+02   1.6494E+02 
2.1438E+02   1.6892E+02 
2.1538E+02   1.7299E+02 
2.1638E+02   1.7714E+02 
2.1738E+02   1.8139E+02 
2.1838E+02   1.8572E+02 
2.1938E+02   1.9014E+02 
2.2038E+02   1.9465E+02 
2.2138E+02   1.9926E+02 
2.2238E+02   2.0396E+02 
2.2338E+02   2.0875E+02 
2.2438E+02   2.1364E+02 
2.2538E+02   2.1863E+02 
2.2638E+02   2.2371E+02 
2.2738E+02   2.2890E+02 
2.2838E+02   2.3418E+02 
2.2938E+02   2.3957E+02 
2.3038E+02   2.4506E+02 
2.3138E+02   2.5065E+02 
2.3238E+02   2.5634E+02 
2.3338E+02   2.6215E+02 
2.3438E+02   2.6806E+02 
2.3538E+02   2.7408E+02 
2.3638E+02   2.8020E+02 
2.3738E+02   2.8644E+02 
2.3838E+02   2.9279E+02 
2.3938E+02   2.9926E+02 
2.4038E+02   3.0584E+02 
2.4138E+02   3.1253E+02 
2.4238E+02   3.1934E+02 
2.4338E+02   3.2627E+02 
2.4438E+02   3.3331E+02 
2.4538E+02   3.4048E+02 
2.4638E+02   3.4777E+02 
2.4738E+02   3.5517E+02 
2.4838E+02   3.6271E+02 
2.4938E+02   3.7036E+02 
2.5038E+02   3.7815E+02 
2.5138E+02   3.8606E+02 
2.5238E+02   3.9410E+02 
2.5338E+02   4.0226E+02 
2.5438E+02   4.1056E+02 
2.5538E+02   4.1899E+02 
2.5638E+02   4.2755E+02 
2.5738E+02   4.3624E+02 
2.5838E+02   4.4507E+02 
2.5938E+02   4.5404E+02 
2.6038E+02   4.6314E+02 
2.6138E+02   4.7238E+02 
2.6238E+02   4.8177E+02 
2.6338E+02   4.9129E+02 
2.6438E+02   5.0095E+02 
2.6538E+02   5.1075E+02 
2.6638E+02   5.2070E+02 
2.6738E+02   5.3079E+02 
2.6838E+02   5.4103E+02 
2.6938E+02   5.5142E+02 
2.7038E+02   5.6195E+02 
2.7138E+02   5.7264E+02 
2.7238E+02   5.8347E+02 
2.7338E+02   5.9446E+02 
2.7438E+02   6.0560E+02 
2.7538E+02   6.1689E+02 
2.7638E+02   6.2833E+02 
2.7738E+02   6.3994E+02 
2.7838E+02   6.5170E+02 
2.7938E+02   6.6361E+02 
2.8038E+02   6.7569E+02 
2.8138E+02   6.8793E+02 
2.8238E+02   7.0032E+02 
2.8338E+02   7.1288E+02 
2.8438E+02   7.2561E+02 
2.8538E+02   7.3850E+02 
2.8638E+02   7.5155E+02 
2.8738E+02   7.6477E+02 
2.8838E+02   7.7815E+02 
2.8938E+02   7.9171E+02 
2.9038E+02   8.0543E+02 
2.9138E+02   8.1933E+02 
2.9238E+02   8.3339E+02 
2.9338E+02   8.4763E+02 
2.9438E+02   8.6205E+02 
2.9538E+02   8.7663E+02 
2.9638E+02   8.9139E+02 
2.9738E+02   9.0633E+02 
2.9838E+02   9.2145E+02 
2.9938E+02   9.3674E+02 
3.0038E+02   9.5222E+02 
3.0138E+02   9.6787E+02 
3.0238E+02   9.8371E+02 
3.0338E+02   9.9973E+02 
3.0438E+02   1.0159E+03 
3.0538E+02   1.0323E+03 
3.0638E+02   1.0489E+03 
3.0738E+02   1.0657E+03 
3.0838E+02   1.0826E+03 
3.0938E+02   1.0997E+03 
3.1038E+02   1.1171E+03 
3.1138E+02   1.1346E+03 
3.1238E+02   1.1523E+03 
3.1338E+02   1.1702E+03 
3.1438E+02   1.1883E+03 
3.1538E+02   1.2065E+03 
3.1638E+02   1.2250E+03 
