q [/rad]     P_2D [(Jy/sr)^2sr]
1.0000E+01   1.9548E+01 
1.0471E+01   2.0048E+01 
1.0965E+01   2.0566E+01 
1.1482E+01   2.1102E+01 
1.2023E+01   2.1656E+01 
1.2589E+01   2.2230E+01 
1.3183E+01   2.2822E+01 
1.3804E+01   2.3433E+01 
1.4454E+01   2.4063E+01 
1.5136E+01   2.4712E+01 
1.5849E+01   2.5381E+01 
1.6596E+01   2.6068E+01 
1.7378E+01   2.6774E+01 
1.8197E+01   2.7499E+01 
1.9055E+01   2.8241E+01 
1.9953E+01   2.9002E+01 
2.0893E+01   2.9779E+01 
2.1878E+01   3.0573E+01 
2.2909E+01   3.1383E+01 
2.3988E+01   3.2207E+01 
2.5119E+01   3.3045E+01 
2.6303E+01   3.3896E+01 
2.7542E+01   3.4758E+01 
2.8840E+01   3.5630E+01 
3.0200E+01   3.6509E+01 
3.1623E+01   3.7396E+01 
3.3113E+01   3.8286E+01 
3.4674E+01   3.9179E+01 
3.6308E+01   4.0072E+01 
3.8019E+01   4.0963E+01 
3.9811E+01   4.1849E+01 
4.1687E+01   4.2727E+01 
4.3652E+01   4.3594E+01 
4.5709E+01   4.4447E+01 
4.7863E+01   4.5283E+01 
5.0119E+01   4.6098E+01 
5.2481E+01   4.6888E+01 
5.4954E+01   4.7650E+01 
5.7544E+01   4.8378E+01 
6.0256E+01   4.9069E+01 
6.3096E+01   4.9717E+01 
6.6069E+01   5.0319E+01 
6.9183E+01   5.0868E+01 
7.2444E+01   5.1361E+01 
7.5858E+01   5.1790E+01 
7.9433E+01   5.2150E+01 
8.3176E+01   5.2437E+01 
8.7096E+01   5.2643E+01 
9.1201E+01   5.2763E+01 
9.5499E+01   5.2791E+01 
1.0000E+02   5.2723E+01 
1.0471E+02   5.2552E+01 
1.0965E+02   5.2274E+01 
1.1482E+02   5.1887E+01 
1.2023E+02   5.1387E+01 
1.2589E+02   5.0774E+01 
1.3183E+02   5.0049E+01 
1.3804E+02   4.9215E+01 
1.4454E+02   4.8278E+01 
1.5136E+02   4.7245E+01 
1.5849E+02   4.6127E+01 
1.6596E+02   4.4938E+01 
1.7378E+02   4.3691E+01 
1.8197E+02   4.2403E+01 
1.9055E+02   4.1091E+01 
1.9953E+02   3.9774E+01 
2.0893E+02   3.8467E+01 
2.1878E+02   3.7186E+01 
2.2909E+02   3.5946E+01 
2.3988E+02   3.4759E+01 
2.5119E+02   3.3634E+01 
2.6303E+02   3.2578E+01 
2.7542E+02   3.1597E+01 
2.8840E+02   3.0692E+01 
3.0200E+02   2.9863E+01 
3.1623E+02   2.9103E+01 
3.3113E+02   2.8404E+01 
3.4674E+02   2.7749E+01 
3.6308E+02   2.7117E+01 
3.8019E+02   2.6481E+01 
3.9811E+02   2.5812E+01 
4.1687E+02   2.5078E+01 
4.3652E+02   2.4256E+01 
4.5709E+02   2.3333E+01 
4.7863E+02   2.2315E+01 
5.0119E+02   2.1231E+01 
5.2481E+02   2.0129E+01 
5.4954E+02   1.9070E+01 
5.7544E+02   1.8113E+01 
6.0256E+02   1.7306E+01 
6.3096E+02   1.6667E+01 
6.6069E+02   1.6182E+01 
6.9183E+02   1.5803E+01 
7.2444E+02   1.5458E+01 
7.5858E+02   1.5070E+01 
7.9433E+02   1.4588E+01 
8.3176E+02   1.4011E+01 
8.7096E+02   1.3397E+01 
9.1201E+02   1.2828E+01 
9.5499E+02   1.2372E+01 
1.0000E+03   1.2045E+01 
1.0471E+03   1.1804E+01 
1.0965E+03   1.1569E+01 
1.1482E+03   1.1281E+01 
1.2023E+03   1.0942E+01 
1.2589E+03   1.0612E+01 
1.3183E+03   1.0350E+01 
1.3804E+03   1.0159E+01 
1.4454E+03   9.9891E+00 
1.5136E+03   9.7968E+00 
1.5849E+03   9.5906E+00 
1.6596E+03   9.4116E+00 
1.7378E+03   9.2722E+00 
1.8197E+03   9.1444E+00 
1.9055E+03   9.0094E+00 
1.9953E+03   8.8831E+00 
2.0893E+03   8.7783E+00 
2.1878E+03   8.6822E+00 
2.2909E+03   8.5876E+00 
2.3988E+03   8.5032E+00 
2.5119E+03   8.4285E+00 
2.6303E+03   8.3577E+00 
2.7542E+03   8.2935E+00 
2.8840E+03   8.2357E+00 
3.0200E+03   8.1822E+00 
3.1623E+03   8.1338E+00 
3.3113E+03   8.0896E+00 
3.4674E+03   8.0494E+00 
3.6308E+03   8.0129E+00 
3.8019E+03   7.9797E+00 
3.9811E+03   7.9496E+00 
4.1687E+03   7.9222E+00 
4.3652E+03   7.8974E+00 
4.5709E+03   7.8748E+00 
4.7863E+03   7.8544E+00 
5.0119E+03   7.8360E+00 
5.2481E+03   7.8193E+00 
5.4954E+03   7.8041E+00 
5.7544E+03   7.7905E+00 
6.0256E+03   7.7781E+00 
6.3096E+03   7.7670E+00 
6.6069E+03   7.7569E+00 
6.9183E+03   7.7478E+00 
7.2444E+03   7.7396E+00 
7.5858E+03   7.7322E+00 
7.9433E+03   7.7256E+00 
8.3176E+03   7.7196E+00 
8.7096E+03   7.7142E+00 
9.1201E+03   7.7093E+00 
9.5499E+03   7.7049E+00 
1.0000E+04   7.7010E+00 
1.0471E+04   7.6975E+00 
1.0965E+04   7.6943E+00 
1.1482E+04   7.6915E+00 
1.2023E+04   7.6889E+00 
1.2589E+04   7.6866E+00 
1.3183E+04   7.6846E+00 
1.3804E+04   7.6827E+00 
1.4454E+04   7.6811E+00 
1.5136E+04   7.6796E+00 
1.5849E+04   7.6783E+00 
1.6596E+04   7.6771E+00 
1.7378E+04   7.6760E+00 
1.8197E+04   7.6751E+00 
1.9055E+04   7.6742E+00 
1.9953E+04   7.6735E+00 
2.0893E+04   7.6728E+00 
2.1878E+04   7.6722E+00 
2.2909E+04   7.6716E+00 
2.3988E+04   7.6712E+00 
2.5119E+04   7.6707E+00 
2.6303E+04   7.6703E+00 
2.7542E+04   7.6700E+00 
2.8840E+04   7.6697E+00 
3.0200E+04   7.6694E+00 
3.1623E+04   7.6692E+00 
3.3113E+04   7.6690E+00 
3.4674E+04   7.6688E+00 
3.6308E+04   7.6686E+00 
3.8019E+04   7.6684E+00 
3.9811E+04   7.6683E+00 
4.1687E+04   7.6682E+00 
4.3652E+04   7.6681E+00 
4.5709E+04   7.6680E+00 
4.7863E+04   7.6679E+00 
5.0119E+04   7.6678E+00 
5.2481E+04   7.6677E+00 
5.4954E+04   7.6677E+00 
5.7544E+04   7.6676E+00 
6.0256E+04   7.6676E+00 
6.3096E+04   7.6675E+00 
6.6069E+04   7.6675E+00 
6.9183E+04   7.6675E+00 
7.2444E+04   7.6674E+00 
7.5858E+04   7.6674E+00 
7.9433E+04   7.6674E+00 
8.3176E+04   7.6674E+00 
8.7096E+04   7.6674E+00 
9.1201E+04   7.6673E+00 
9.5499E+04   7.6673E+00 
1.0000E+05   7.6673E+00 
