Name	Resp.	WhiteNoise	time offset	EL	XEL	Frequency
A_01_0009	1.0	0.0	0.0	-0.0725	-0.033	715.0
A_01_0053	1.0	0.0	0.0	-0.058	-0.033	715.0
A_01_0106	1.0	0.0	0.0	-0.0435	-0.033	715.0
A_01_0188	1.0	0.0	0.0	-0.029	-0.033	715.0
A_01_0319	1.0	0.0	0.0	-0.0145	-0.033	715.0
A_01_0409	1.0	0.0	0.0	0.0	-0.033	715.0
A_01_0434	1.0	0.0	0.0	0.0145	-0.033	715.0
A_01_0488	1.0	0.0	0.0	0.029	-0.033	715.0
A_01_0520	1.0	0.0	0.0	0.0435	-0.033	715.0
A_01_0525	1.0	0.0	0.0	0.058	-0.033	715.0
A_01_0711	1.0	0.0	0.0	-0.0725	-0.033	719.0
A_01_0750	1.0	0.0	0.0	-0.058	-0.033	719.0
A_01_0771	1.0	0.0	0.0	-0.0435	-0.033	719.0
A_01_0916	1.0	0.0	0.0	-0.029	-0.033	719.0
A_01_0949	1.0	0.0	0.0	-0.0145	-0.033	719.0
A_01_1040	1.0	0.0	0.0	0.0	-0.033	719.0
A_01_1084	1.0	0.0	0.0	0.0145	-0.033	719.0
A_01_1139	1.0	0.0	0.0	0.029	-0.033	719.0
A_01_1169	1.0	0.0	0.0	0.0435	-0.033	719.0
A_01_1291	1.0	0.0	0.0	0.058	-0.033	719.0
A_01_1307	1.0	0.0	0.0	-0.0725	-0.033	723.0
A_01_1424	1.0	0.0	0.0	-0.058	-0.033	723.0
A_01_1489	1.0	0.0	0.0	-0.0435	-0.033	723.0
A_01_1519	1.0	0.0	0.0	-0.029	-0.033	723.0
A_01_1535	1.0	0.0	0.0	-0.0145	-0.033	723.0
A_01_1584	1.0	0.0	0.0	0.0	-0.033	723.0
A_01_1654	1.0	0.0	0.0	0.0145	-0.033	723.0
A_01_1674	1.0	0.0	0.0	0.029	-0.033	723.0
A_01_1679	1.0	0.0	0.0	0.0435	-0.033	723.0
A_01_1743	1.0	0.0	0.0	0.058	-0.033	723.0
A_01_1796	1.0	0.0	0.0	-0.0725	-0.033	727.0
A_01_1824	1.0	0.0	0.0	-0.058	-0.033	727.0
A_01_1827	1.0	0.0	0.0	-0.0435	-0.033	727.0
A_01_1832	1.0	0.0	0.0	-0.029	-0.033	727.0
A_01_1876	1.0	0.0	0.0	-0.0145	-0.033	727.0
A_01_2045	1.0	0.0	0.0	0.0	-0.033	727.0
A_01_2266	1.0	0.0	0.0	0.0145	-0.033	727.0
A_01_2286	1.0	0.0	0.0	0.029	-0.033	727.0
A_01_2287	1.0	0.0	0.0	0.0435	-0.033	727.0
A_01_2340	1.0	0.0	0.0	0.058	-0.033	727.0
A_01_2504	1.0	0.0	0.0	-0.0725	-0.033	731.0
A_01_2547	1.0	0.0	0.0	-0.058	-0.033	731.0
A_01_2591	1.0	0.0	0.0	-0.0435	-0.033	731.0
A_01_2615	1.0	0.0	0.0	-0.029	-0.033	731.0
A_01_2621	1.0	0.0	0.0	-0.0145	-0.033	731.0
A_01_2646	1.0	0.0	0.0	0.0	-0.033	731.0
A_01_2664	1.0	0.0	0.0	0.0145	-0.033	731.0
A_01_2677	1.0	0.0	0.0	0.029	-0.033	731.0
A_01_2803	1.0	0.0	0.0	0.0435	-0.033	731.0
A_01_2927	1.0	0.0	0.0	0.058	-0.033	731.0
A_01_3150	1.0	0.0	0.0	-0.0725	-0.033	735.0
A_01_3257	1.0	0.0	0.0	-0.058	-0.033	735.0
A_01_3258	1.0	0.0	0.0	-0.0435	-0.033	735.0
A_01_3432	1.0	0.0	0.0	-0.029	-0.033	735.0
A_01_3456	1.0	0.0	0.0	-0.0145	-0.033	735.0
A_01_3483	1.0	0.0	0.0	0.0	-0.033	735.0
A_01_3527	1.0	0.0	0.0	0.0145	-0.033	735.0
A_01_3582	1.0	0.0	0.0	0.029	-0.033	735.0
A_01_3593	1.0	0.0	0.0	0.0435	-0.033	735.0
A_01_3598	1.0	0.0	0.0	0.058	-0.033	735.0
A_01_3611	1.0	0.0	0.0	-0.0725	-0.033	739.0
A_01_3657	1.0	0.0	0.0	-0.058	-0.033	739.0
A_01_3733	1.0	0.0	0.0	-0.0435	-0.033	739.0
A_01_3752	1.0	0.0	0.0	-0.029	-0.033	739.0
A_01_3811	1.0	0.0	0.0	-0.0145	-0.033	739.0
A_01_3814	1.0	0.0	0.0	0.0	-0.033	739.0
A_01_3923	1.0	0.0	0.0	0.0145	-0.033	739.0
A_01_4010	1.0	0.0	0.0	0.029	-0.033	739.0
A_01_4012	1.0	0.0	0.0	0.0435	-0.033	739.0
A_01_4040	1.0	0.0	0.0	0.058	-0.033	739.0
A_01_4119	1.0	0.0	0.0	-0.0725	-0.033	743.0
A_01_4304	1.0	0.0	0.0	-0.058	-0.033	743.0
A_01_4315	1.0	0.0	0.0	-0.0435	-0.033	743.0
A_01_4333	1.0	0.0	0.0	-0.029	-0.033	743.0
A_01_4339	1.0	0.0	0.0	-0.0145	-0.033	743.0
A_01_4371	1.0	0.0	0.0	0.0	-0.033	743.0
A_01_4374	1.0	0.0	0.0	0.0145	-0.033	743.0
A_01_4386	1.0	0.0	0.0	0.029	-0.033	743.0
A_01_4422	1.0	0.0	0.0	0.0435	-0.033	743.0
A_01_4506	1.0	0.0	0.0	0.058	-0.033	743.0
A_01_4552	1.0	0.0	0.0	-0.0725	-0.033	747.0
A_01_4554	1.0	0.0	0.0	-0.058	-0.033	747.0
A_01_4557	1.0	0.0	0.0	-0.0435	-0.033	747.0
A_01_4741	1.0	0.0	0.0	-0.029	-0.033	747.0
A_01_4803	1.0	0.0	0.0	-0.0145	-0.033	747.0
A_01_4808	1.0	0.0	0.0	0.0	-0.033	747.0
A_01_4889	1.0	0.0	0.0	0.0145	-0.033	747.0
A_01_5038	1.0	0.0	0.0	0.029	-0.033	747.0
A_01_5155	1.0	0.0	0.0	0.0435	-0.033	747.0
A_01_5168	1.0	0.0	0.0	0.058	-0.033	747.0
A_01_5310	1.0	0.0	0.0	-0.0725	-0.033	751.0
A_01_5313	1.0	0.0	0.0	-0.058	-0.033	751.0
A_01_5514	1.0	0.0	0.0	-0.0435	-0.033	751.0
A_01_5573	1.0	0.0	0.0	-0.029	-0.033	751.0
A_01_5574	1.0	0.0	0.0	-0.0145	-0.033	751.0
A_01_5635	1.0	0.0	0.0	0.0	-0.033	751.0
A_01_5820	1.0	0.0	0.0	0.0145	-0.033	751.0
A_01_5881	1.0	0.0	0.0	0.029	-0.033	751.0
A_01_5925	1.0	0.0	0.0	0.0435	-0.033	751.0
A_01_5930	1.0	0.0	0.0	0.058	-0.033	751.0
A_01_5947	1.0	0.0	0.0	-0.0725	-0.033	755.0
A_01_5977	1.0	0.0	0.0	-0.058	-0.033	755.0
A_01_6065	1.0	0.0	0.0	-0.0435	-0.033	755.0
A_01_6126	1.0	0.0	0.0	-0.029	-0.033	755.0
A_01_6201	1.0	0.0	0.0	-0.0145	-0.033	755.0
A_01_6216	1.0	0.0	0.0	0.0	-0.033	755.0
A_01_6224	1.0	0.0	0.0	0.0145	-0.033	755.0
A_01_6227	1.0	0.0	0.0	0.029	-0.033	755.0
A_01_6252	1.0	0.0	0.0	0.0435	-0.033	755.0
A_01_6304	1.0	0.0	0.0	0.058	-0.033	755.0
A_01_6482	1.0	0.0	0.0	-0.0725	-0.033	759.0
A_01_6543	1.0	0.0	0.0	-0.058	-0.033	759.0
A_01_6572	1.0	0.0	0.0	-0.0435	-0.033	759.0
A_01_6873	1.0	0.0	0.0	-0.029	-0.033	759.0
A_01_6912	1.0	0.0	0.0	-0.0145	-0.033	759.0
A_01_6916	1.0	0.0	0.0	0.0	-0.033	759.0
A_01_6924	1.0	0.0	0.0	0.0145	-0.033	759.0
A_01_7019	1.0	0.0	0.0	0.029	-0.033	759.0
A_01_7123	1.0	0.0	0.0	0.0435	-0.033	759.0
A_01_7359	1.0	0.0	0.0	0.058	-0.033	759.0
A_01_7428	1.0	0.0	0.0	-0.0725	-0.033	763.0
A_01_7433	1.0	0.0	0.0	-0.058	-0.033	763.0
A_01_7517	1.0	0.0	0.0	-0.0435	-0.033	763.0
A_01_7527	1.0	0.0	0.0	-0.029	-0.033	763.0
A_01_7573	1.0	0.0	0.0	-0.0145	-0.033	763.0
A_01_7668	1.0	0.0	0.0	0.0	-0.033	763.0
A_01_8005	1.0	0.0	0.0	0.0145	-0.033	763.0
A_01_8085	1.0	0.0	0.0	0.029	-0.033	763.0
A_01_8179	1.0	0.0	0.0	0.0435	-0.033	763.0
A_01_8201	1.0	0.0	0.0	0.058	-0.033	763.0
A_01_8279	1.0	0.0	0.0	-0.0725	-0.033	767.0
A_01_8317	1.0	0.0	0.0	-0.058	-0.033	767.0
A_01_8348	1.0	0.0	0.0	-0.0435	-0.033	767.0
A_01_8669	1.0	0.0	0.0	-0.029	-0.033	767.0
A_01_8689	1.0	0.0	0.0	-0.0145	-0.033	767.0
A_01_8751	1.0	0.0	0.0	0.0	-0.033	767.0
A_01_8785	1.0	0.0	0.0	0.0145	-0.033	767.0
A_01_8797	1.0	0.0	0.0	0.029	-0.033	767.0
A_01_8830	1.0	0.0	0.0	0.0435	-0.033	767.0
A_01_8837	1.0	0.0	0.0	0.058	-0.033	767.0
A_01_8928	1.0	0.0	0.0	-0.0725	-0.033	771.0
A_01_8935	1.0	0.0	0.0	-0.058	-0.033	771.0
A_01_9044	1.0	0.0	0.0	-0.0435	-0.033	771.0
A_01_9064	1.0	0.0	0.0	-0.029	-0.033	771.0
A_01_9125	1.0	0.0	0.0	-0.0145	-0.033	771.0
A_01_9195	1.0	0.0	0.0	0.0	-0.033	771.0
A_01_9197	1.0	0.0	0.0	0.0145	-0.033	771.0
A_01_9292	1.0	0.0	0.0	0.029	-0.033	771.0
A_01_9459	1.0	0.0	0.0	0.0435	-0.033	771.0
A_01_9560	1.0	0.0	0.0	0.058	-0.033	771.0
A_01_9577	1.0	0.0	0.0	-0.0725	-0.033	775.0
A_01_9654	1.0	0.0	0.0	-0.058	-0.033	775.0
A_01_9674	1.0	0.0	0.0	-0.0435	-0.033	775.0
A_01_9763	1.0	0.0	0.0	-0.029	-0.033	775.0
A_01_9771	1.0	0.0	0.0	-0.0145	-0.033	775.0
A_01_9813	1.0	0.0	0.0	0.0	-0.033	775.0
A_01_9863	1.0	0.0	0.0	0.0145	-0.033	775.0
A_01_9891	1.0	0.0	0.0	0.029	-0.033	775.0
A_01_9977	1.0	0.0	0.0	0.0435	-0.033	775.0
A_01_9980	1.0	0.0	0.0	0.058	-0.033	775.0
A_02_0035	1.0	0.0	0.0	-0.0725	-0.033	779.0
A_02_0117	1.0	0.0	0.0	-0.058	-0.033	779.0
A_02_0152	1.0	0.0	0.0	-0.0435	-0.033	779.0
A_02_0241	1.0	0.0	0.0	-0.029	-0.033	779.0
A_02_0344	1.0	0.0	0.0	-0.0145	-0.033	779.0
A_02_0514	1.0	0.0	0.0	0.0	-0.033	779.0
A_02_0651	1.0	0.0	0.0	0.0145	-0.033	779.0
A_02_0821	1.0	0.0	0.0	0.029	-0.033	779.0
A_02_0828	1.0	0.0	0.0	0.0435	-0.033	779.0
A_02_0887	1.0	0.0	0.0	0.058	-0.033	779.0
A_02_0931	1.0	0.0	0.0	-0.0725	-0.033	783.0
A_02_0936	1.0	0.0	0.0	-0.058	-0.033	783.0
A_02_0958	1.0	0.0	0.0	-0.0435	-0.033	783.0
A_02_0960	1.0	0.0	0.0	-0.029	-0.033	783.0
A_02_0964	1.0	0.0	0.0	-0.0145	-0.033	783.0
A_02_0993	1.0	0.0	0.0	0.0	-0.033	783.0
A_02_0998	1.0	0.0	0.0	0.0145	-0.033	783.0
A_02_1049	1.0	0.0	0.0	0.029	-0.033	783.0
A_02_1104	1.0	0.0	0.0	0.0435	-0.033	783.0
A_02_1113	1.0	0.0	0.0	0.058	-0.033	783.0
A_02_1122	1.0	0.0	0.0	-0.0725	-0.033	787.0
