Line,Source_ID,Redshift,Flux_Jy,NEFD_Jy,t_int_hr
SIII 33$\rm \mu m$,0,2.351,,,
SIII 33$\rm \mu m$,1,4.1227,,,
SIII 33$\rm \mu m$,2,3.4436,,,
SIII 33$\rm \mu m$,3,4.8769,,,
SIII 33$\rm \mu m$,4,3.0901,,,
SIII 33$\rm \mu m$,5,4.9104,,,
SIII 33$\rm \mu m$,6,3.6139,,,
SIII 33$\rm \mu m$,7,3.4434,,,
SIII 33$\rm \mu m$,8,4.2334,,,
SIII 33$\rm \mu m$,9,2.5149,,,
SIII 33$\rm \mu m$,10,3.957,,,
SIII 33$\rm \mu m$,11,4.2991,,,
SIII 33$\rm \mu m$,12,4.8031,,,
SIII 33$\rm \mu m$,13,2.7882,,,
SIII 33$\rm \mu m$,14,4.3492,,,
SIII 33$\rm \mu m$,15,5.0182,,,
SIII 33$\rm \mu m$,16,3.233,,,
SIII 33$\rm \mu m$,17,5.7022,,,
SIII 33$\rm \mu m$,18,5.6256,,,
SIII 33$\rm \mu m$,19,3.5948,,,
SIII 33$\rm \mu m$,20,6.9011,0.025634481430053712,9.176048637904064,889.8152590051025
SIII 33$\rm \mu m$,21,2.9345,,,
SIII 33$\rm \mu m$,22,4.51,,,
SIII 33$\rm \mu m$,23,4.2958,,,
SIII 33$\rm \mu m$,24,5.6554,,,
SIII 33$\rm \mu m$,25,5.6541,,,
SIII 33$\rm \mu m$,26,2.6833,,,
SIII 33$\rm \mu m$,27,4.0564,,,
SIII 33$\rm \mu m$,28,4.2246,,,
SIII 33$\rm \mu m$,29,5.1353,,,
SIII 33$\rm \mu m$,30,3.8519,,,
SIII 33$\rm \mu m$,31,4.4803,,,
SIII 33$\rm \mu m$,32,5.016,,,
SIII 33$\rm \mu m$,33,3.9875,,,
SIII 33$\rm \mu m$,34,4.8562,,,
SIII 33$\rm \mu m$,35,4.7989,,,
SIII 33$\rm \mu m$,36,2.2334,,,
SIII 33$\rm \mu m$,37,3.4039,,,
SIII 33$\rm \mu m$,38,3.7785,,,
SIII 33$\rm \mu m$,39,4.737,,,
SIII 33$\rm \mu m$,40,3.3684,,,
SIII 33$\rm \mu m$,41,3.3986,,,
SIII 33$\rm \mu m$,42,2.7855,,,
SIII 33$\rm \mu m$,43,4.2692,,,
SIII 33$\rm \mu m$,44,3.1276,,,
SIII 33$\rm \mu m$,45,2.5833,,,
SIII 33$\rm \mu m$,46,3.1642,,,
SIII 33$\rm \mu m$,47,4.4376,,,
SIII 33$\rm \mu m$,48,5.323,,,
SIII 33$\rm \mu m$,49,4.815,,,
SIII 33$\rm \mu m$,50,2.4807,,,
SIII 33$\rm \mu m$,51,2.026,,,
SIII 33$\rm \mu m$,52,2.7272,,,
SIII 33$\rm \mu m$,53,3.3466,,,
SIII 33$\rm \mu m$,54,2.4521,,,
SIII 33$\rm \mu m$,55,3.9977,,,
SIII 33$\rm \mu m$,56,4.0898,,,
SIII 33$\rm \mu m$,57,3.1551,,,
SIII 33$\rm \mu m$,58,4.4359,,,
SIII 33$\rm \mu m$,59,3.2601,,,
SIII 33$\rm \mu m$,60,4.7678,,,
SIII 33$\rm \mu m$,61,2.78,,,
SIII 33$\rm \mu m$,62,4.567,,,
SIII 33$\rm \mu m$,63,3.7604,,,
SIII 33$\rm \mu m$,64,3.8507,,,
SIII 33$\rm \mu m$,65,5.1937,,,
SIII 33$\rm \mu m$,66,2.8936,,,
SIII 33$\rm \mu m$,67,2.5073,,,
SIII 33$\rm \mu m$,68,4.2796,,,
SIII 33$\rm \mu m$,69,3.1413,,,
SIII 33$\rm \mu m$,70,5.2927,,,
SIII 33$\rm \mu m$,71,2.7256,,,
SIII 33$\rm \mu m$,72,4.7555,,,
SIII 33$\rm \mu m$,73,3.8617,,,
SIII 33$\rm \mu m$,74,2.8759,,,
SIII 33$\rm \mu m$,75,3.9,,,
SIII 33$\rm \mu m$,76,4.302,,,
SIII 33$\rm \mu m$,77,5.8114,,,
SIII 33$\rm \mu m$,78,5.5781,,,
SIII 33$\rm \mu m$,79,1.867,,,
SIII 33$\rm \mu m$,80,3.07,,,
SiII 35$\rm \mu m$,0,2.351,,,
SiII 35$\rm \mu m$,1,4.1227,,,
SiII 35$\rm \mu m$,2,3.4436,,,
SiII 35$\rm \mu m$,3,4.8769,,,
SiII 35$\rm \mu m$,4,3.0901,,,
SiII 35$\rm \mu m$,5,4.9104,,,
